statue,statueLabel,height,inception,countryLabel,elevation,materialLabel
http://www.wikidata.org/entity/Q9202,Статуя Свободы,46,1886-01-01T00:00:00Z,США,,медь
http://www.wikidata.org/entity/Q9202,Статуя Свободы,47,1886-01-01T00:00:00Z,США,,медь
http://www.wikidata.org/entity/Q9202,Статуя Свободы,46,1886-01-01T00:00:00Z,США,,сталь
http://www.wikidata.org/entity/Q9202,Статуя Свободы,47,1886-01-01T00:00:00Z,США,,сталь
http://www.wikidata.org/entity/Q9202,Статуя Свободы,46,1886-01-01T00:00:00Z,США,,бетон
http://www.wikidata.org/entity/Q9202,Статуя Свободы,47,1886-01-01T00:00:00Z,США,,бетон
http://www.wikidata.org/entity/Q9202,Статуя Свободы,46,1886-01-01T00:00:00Z,США,,гранит
http://www.wikidata.org/entity/Q9202,Статуя Свободы,47,1886-01-01T00:00:00Z,США,,гранит
http://www.wikidata.org/entity/Q9202,Статуя Свободы,46,1886-01-01T00:00:00Z,США,,сусальное золото
http://www.wikidata.org/entity/Q9202,Статуя Свободы,47,1886-01-01T00:00:00Z,США,,сусальное золото
http://www.wikidata.org/entity/Q10954,"Демокрит, размышляющий о месте пребывания души",,1868-01-01T00:00:00Z,Франция,,
http://www.wikidata.org/entity/Q11783,Monument to Pedro IV (Porto),10,,Португалия,,бронза
http://www.wikidata.org/entity/Q40546,Dionysus Sardanapalus,,,Италия,,
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,8,1920-01-01T00:00:00Z,Бразилия,710,железобетон
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,30.1,1920-01-01T00:00:00Z,Бразилия,710,железобетон
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,8,1920-01-01T00:00:00Z,Бразилия,710,талькохлорит
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,30.1,1920-01-01T00:00:00Z,Бразилия,710,талькохлорит
http://www.wikidata.org/entity/Q83862,Умирающий раб,229,1514-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q109968,Коламбус-сёркл,,1892-01-01T00:00:00Z,США,,
http://www.wikidata.org/entity/Q114718,Памятник детям мира,,1958-05-05T00:00:00Z,Япония,,
http://www.wikidata.org/entity/Q131141,Младший Мемнон,267,,Великобритания,,гранит
http://www.wikidata.org/entity/Q133732,Дискобол,156,-0450-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q133732,Дискобол,156,-0450-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q133802,Portlandia,,1985-01-01T00:00:00Z,США,,
http://www.wikidata.org/entity/Q133829,Лось,,1923-01-01T00:00:00Z,Россия,,бронза
http://www.wikidata.org/entity/Q151952,Венера Милосская,202,-0140-01-01T00:00:00Z,Франция,,паросский мрамор
http://www.wikidata.org/entity/Q154571,The Thinker,180,1880-01-01T00:00:00Z,Франция,,бронза
http://www.wikidata.org/entity/Q154571,The Thinker,180,1880-01-01T00:00:00Z,Франция,,чугун
http://www.wikidata.org/entity/Q168552,фаллос,,,,,
http://www.wikidata.org/entity/Q179900,Давид,517,1500-01-01T00:00:00Z,Италия,,каррарский мрамор
http://www.wikidata.org/entity/Q185392,Боргезский борец,173,-0100-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q186494,Uta of Naumburg,,1300-01-01T00:00:00Z,,,Grillenburg Sandstone
http://www.wikidata.org/entity/Q208120,Кариатида,,,,,
http://www.wikidata.org/entity/Q211175,2000 Jahre Christentum,,,Германия,,бронза
http://www.wikidata.org/entity/Q216402,Ника Самофракийская,245,-0175-01-01T00:00:00Z,Франция,,паросский мрамор
http://www.wikidata.org/entity/Q247322,Церингер,,1535-01-01T00:00:00Z,Швейцария,538,
http://www.wikidata.org/entity/Q247327,Zähringer memorial,,1847-05-08T00:00:00Z,Швейцария,,камень
http://www.wikidata.org/entity/Q247327,Zähringer memorial,,1847-05-08T00:00:00Z,Швейцария,,бронза
http://www.wikidata.org/entity/Q259633,Кристо де ла Конкордия,6.24,1994-01-01T00:00:00Z,Боливия,,бетон
http://www.wikidata.org/entity/Q259633,Кристо де ла Конкордия,34.2,1994-01-01T00:00:00Z,Боливия,,бетон
http://www.wikidata.org/entity/Q259695,Дама из Гвардамара,,-0400-01-01T00:00:00Z,Испания,,известняк
http://www.wikidata.org/entity/Q264868,Oregon Pioneer,,1938-01-01T00:00:00Z,США,,золото
http://www.wikidata.org/entity/Q264868,Oregon Pioneer,,1938-01-01T00:00:00Z,США,,бронза
http://www.wikidata.org/entity/Q288719,Menelik II monument,,1930-11-01T00:00:00Z,Эфиопия,,бронза
http://www.wikidata.org/entity/Q321252,Геркулес (Кассель),,1717-11-30T00:00:00Z,Германия,,медь
http://www.wikidata.org/entity/Q337937,Saint John the Baptist,,1412-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q366159,Q366159,,-5200-01-01T00:00:00Z,,,керамика
http://www.wikidata.org/entity/Q366159,Q366159,,-5100-01-01T00:00:00Z,,,керамика
http://www.wikidata.org/entity/Q374591,Геркулес Фарнезский,317,-0369-01-01T00:00:00Z,Италия,,мрамор
http://www.wikidata.org/entity/Q378034,Сидящий писец,53.7,-2600-01-01T00:00:00Z,Египет,,известняк
